"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Alabama A & M University",35762,34.783368,-86.568502,0.6538,0.0587,9366,17136,13075,12458,15857,16022,14646,NA,NA,NA,NA,NA,743,NA,7017,35000,49720.22,4500,13800,35300,51400,6700,17200,45100,70000
"University of Alabama at Birmingham",NA,33.50223,-86.80917,0.6043,0,7766,17654,13614,14746,17601,18873,18482,NA,NA,NA,NA,NA,955,NA,10221,21500,55735.22,9700,20600,49500,66200,10900,24900,57600,84000
"Amridge University",NA,32.362609,-86.17401,NA,0,6900,6900,NA,NA,NA,NA,NA,8453,12133,NA,NA,NA,NA,9,3217,23000,53683.7,7300,18500,50900,75400,6800,22900,59900,79500
"University of Alabama in Huntsville",35899,34.722818,-86.63842,0.812,0,9128,20622,15252,17228,19178,20842,20848,NA,NA,NA,NA,NA,331,NA,9514,23500,58688.62,9100,21800,54300,70300,12900,27300,70200,93300
"Alabama State University",NA,32.364317,-86.295677,0.4639,0,8720,15656,7519,2611,9831,11446,12430,NA,NA,NA,NA,NA,570,NA,7940,32091,46065.2,4300,12200,31600,39800,7100,14800,40800,55400
"The University of Alabama",NA,33.2144,-87.545766,0.5359,0,10170,25950,17263,19279,21309,22594,23599,NA,NA,NA,NA,NA,1282,NA,9710,23750,57928.41,9800,21900,48900,61600,13100,28000,64300,85000
"Central Alabama Community College",35010,32.924429,-85.94653,NA,0.044,4320,7770,5180,5721,7518,9093,9834,NA,NA,NA,NA,NA,312,NA,5671,9388,43985.14,4800,12600,35000,47500,7000,15400,41100,58800
"Athens State University",35611,34.805625,-86.96514,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7921,18534,50752.1,9900,19900,45400,61200,12600,24700,50600,74000
"Auburn University at Montgomery",NA,32.369939,-86.177351,0.7871,0,9350,20210,12857,14215,15572,17266,16094,NA,NA,NA,NA,NA,409,NA,7588,22192.5,50723.81,8800,18200,41900,55900,9500,19700,49500,66300
"Auburn University",36849,32.604685,-85.482782,0.7766,0,10424,28040,17216,19189,22210,24383,25805,NA,NA,NA,NA,NA,1090,NA,9738,21500,59005.4,11800,24400,52700,67000,13800,31600,69200,91400
"Birmingham Southern College",35254,33.515453,-86.853636,0.5306,0,33128,33128,NA,NA,NA,NA,NA,18551,17803,20676,21980,24681,NA,180,7078,26850,64789.39,6300,18300,46500,58300,9800,26800,64100,77600
"Chattahoochee Valley Community College",36869,32.42391,-85.031485,NA,0.0354,4380,7830,876,854,2891,4944,5620,NA,NA,NA,NA,NA,242,NA,5906,9389.5,46908.55,4900,12900,32300,46400,5500,14700,39900,58700
"Concordia College Alabama",36701,32.42443,-87.023531,0.4034,0,10320,10320,NA,NA,NA,NA,NA,21197,22616,23323,26486,NA,NA,176,5605,36870,38220.7,2300,10500,29700,36600,5400,13200,35600,44500
"South University-Montgomery",36116,32.342684,-86.216488,NA,0,16761,16761,NA,NA,NA,NA,NA,20558,22448,23408,27628,NA,NA,31,4446,25000,55764.27,7600,15200,47800,74600,7100,16000,49200,67200
"Enterprise State Community College",NA,31.297496,-85.836956,NA,0,4320,7770,3549,4609,5786,8075,8596,NA,NA,NA,NA,NA,226,NA,6300,7155,44274,5200,13600,44800,67000,5700,15200,47300,58700
"James H Faulkner State Community College",NA,30.852045,-87.779758,NA,0.0019,4320,7770,5343,6341,8563,9749,9593,NA,NA,NA,NA,NA,730,NA,5988,11000,52162.04,4400,13200,36500,50200,5100,15500,43700,59500
"Faulkner University",NA,32.384181,-86.21641,0.573,0,19280,19280,NA,NA,NA,NA,NA,23712,25216,24682,23567,21981,NA,360,5973,21750,52330.99,8200,18100,46300,63600,9800,20800,55600,80700
"Gadsden State Community College",35903,33.991866,-85.991299,NA,0.1783,3216,5976,3602,3994,5751,NA,NA,NA,NA,NA,NA,NA,702,NA,6046,NA,43919.51,3900,11100,31700,46200,5600,14500,39900,58300
"New Beginning College of Cosmetology",35951,34.27871,-86.196931,NA,0,NA,NA,NA,NA,NA,NA,NA,9375,9410,10585,NA,NA,NA,59,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George C Wallace State Community College-Dothan",NA,31.316086,-85.46355,NA,0.079,4260,7710,2828,3522,4690,NA,NA,NA,NA,NA,NA,NA,571,NA,5665,NA,43000.16,5300,11600,32200,46300,7100,13500,39400,64200
"George C Wallace State Community College-Hanceville",NA,34.07341,-86.781745,NA,0.0437,4320,7770,6585,6095,9296,11065,11169,NA,NA,NA,NA,NA,678,NA,5959,11000,47769.34,4800,15000,38100,52000,4900,15600,45400,57100
"George C Wallace State Community College-Selma",NA,32.445611,-87.01324,NA,0.0126,4020,7470,7624,9004,12215,NA,NA,NA,NA,NA,NA,NA,339,NA,5232,NA,35579.05,4300,10900,31800,46000,6100,13200,38600,57100
"Herzing University-Birmingham",35209,33.468105,-86.832299,0.9541,0.0506,13090,13090,NA,NA,NA,NA,NA,23060,21695,25307,26546,NA,NA,27,5206,23713.5,46871.43,7200,15500,41500,58300,12300,23600,55400,77200
"Huntingdon College",NA,32.350939,-86.285313,0.5769,0,25050,25050,NA,NA,NA,NA,NA,16621,17760,19988,21948,22932,NA,167,5911,26477.5,54037.99,12200,18300,41600,54500,9100,23400,52200,73200
"Heritage Christian University",NA,34.859089,-87.662062,0.7,0,9792,9792,NA,NA,NA,NA,NA,11464,10925,NA,NA,NA,NA,2,3439,NA,51048.04,NA,NA,NA,NA,NA,NA,NA,NA
"J F Drake State Community and Technical College",35811,34.772116,-86.573817,NA,0.1349,4290,7740,7068,7941,9540,NA,NA,NA,NA,NA,NA,NA,125,NA,5499,NA,52646.49,4900,9600,30300,42100,7000,11300,36300,49500
"Jacksonville State University",36265,33.822128,-85.766644,0.6665,0.0264,7500,14700,14696,16376,18923,19997,20030,NA,NA,NA,NA,NA,788,NA,6795,23250,48389.27,7000,16800,38600,53800,9000,20200,47100,64200
"Jefferson Davis Community College",36426,31.101995,-87.085829,NA,0.0565,4028,7478,3602,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,5724,NA,40521.77,4900,13500,37000,50900,6500,13100,42500,58600
"Jefferson State Community College",NA,33.652439,-86.707387,NA,0.0709,4380,7830,8421,9403,11007,12880,13118,NA,NA,NA,NA,NA,695,NA,6148,8500,57833.36,5100,14600,38800,49400,8000,16000,44500,61200
"John C Calhoun State Community College",35671,34.65428,-86.949131,NA,0.1223,4320,7770,3766,4915,7322,9293,9209,NA,NA,NA,NA,NA,782,NA,6156,11000,56005.43,4800,13000,35600,51600,6000,14300,43200,62800
"Judson College",36756,32.630526,-87.316127,0.6292,0,16868,16868,NA,NA,NA,NA,NA,12695,14669,15811,14590,725,NA,61,5545,NA,46522.29,3100,NA,NA,38500,9300,13900,41400,57100
"Lawson State Community College-Birmingham Campus",NA,33.451673,-86.890234,NA,0.2295,4320,7770,7950,8120,8630,5124,NA,NA,NA,NA,NA,NA,562,NA,5793,NA,40437.86,4600,10800,30400,42600,6100,13100,36400,51500
"University of West Alabama",35470,32.59244,-88.186077,0.7347,0.0245,8734,15878,10626,11313,14450,14599,14637,NA,NA,NA,NA,NA,266,NA,5938,26489,40238.44,8200,14600,39100,58500,8500,21000,50500,63700
"Lurleen B Wallace Community College",NA,31.322947,-86.452262,NA,0.028,4320,7770,7003,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,NA,5797,NA,37073.95,4300,11700,32800,46600,7900,14900,38300,60100
"Marion Military Institute",NA,32.622359,-87.317998,0.5918,0,8778,14778,7916,8798,10886,12174,12957,NA,NA,NA,NA,NA,83,NA,5886,11500,56305.23,6000,18800,44700,54700,NA,NA,NA,NA
"Miles College",NA,33.481306,-86.908605,NA,0,11604,11604,NA,NA,NA,NA,NA,15254,15983,17884,16418,18552,NA,477,4337,36172,43157.79,3700,10900,30400,41300,6400,14800,37700,51200
"University of Mobile",NA,30.793247,-88.128934,0.6051,0,20470,20470,NA,NA,NA,NA,NA,16828,19098,19251,21608,24284,NA,221,5028,25875,51833.34,6800,16300,43800,60600,9600,20600,49700,73400
"University of Montevallo",NA,33.10625,-86.865099,0.7001,0,11410,22780,14436,15186,17994,19582,19811,NA,NA,NA,NA,NA,327,NA,7496,23383,59047.15,8000,14800,36500,45100,9900,20200,46400,62300
"Northwest-Shoals Community College",35661,34.739567,-87.67733,NA,0.0373,4291,7741,5515,5783,7865,9301,9282,NA,NA,NA,NA,NA,510,NA,5923,11000,43283.31,3900,12900,34000,48000,5900,13500,41100,59300
"University of North Alabama",NA,34.80658,-87.680999,0.58,0,7774,13870,9381,10261,12371,13072,13156,NA,NA,NA,NA,NA,704,NA,7393,21837,48189.09,6900,17300,38300,54700,9800,22200,51300,68400
"Northeast Alabama Community College",35986,34.545471,-85.911664,NA,0.1359,4320,7770,2932,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,NA,6050,4500,43126.73,4100,12700,35200,48800,5300,14900,41300,58100
"Oakwood University",35896,34.756628,-86.661628,0.4749,0,16720,16720,NA,NA,NA,NA,NA,19506,24573,24845,29915,30895,NA,279,4439,31000,60906.45,4900,12300,33900,52100,7900,16200,50500,75600
"Alabama Southern Community College",36460,31.488925,-87.326352,NA,0.1864,4320,7770,5058,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,5770,NA,37664.25,5100,11200,30800,48700,4400,13600,39000,55300
"Prince Institute-Southeast",60126,41.928952,-87.962922,NA,0,10485,10485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21035.5,53434.07,NA,NA,NA,NA,NA,NA,NA,NA
"Reid State Technical College",36401,31.46071,-86.964486,NA,0,4380,7830,4184,NA,NA,NA,2034,NA,NA,NA,NA,NA,59,NA,5786,NA,36356.31,6000,11300,31600,46100,5200,11000,32500,45700
"Bishop State Community College",NA,30.693972,-88.056982,NA,0.0669,4320,7770,5870,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,NA,6098,NA,41748.26,3900,11300,29400,44500,5900,13000,36700,54300
"Samford University",NA,33.464578,-86.790932,0.933,0,28370,28370,NA,NA,NA,NA,NA,21312,24845,25704,29046,30462,NA,316,8599,22500,69602.13,9700,24600,52000,73500,12600,31400,69200,124000
"Selma University",36701,32.420358,-87.033826,NA,0,6705,6705,NA,NA,NA,NA,NA,12119,12149,NA,NA,NA,NA,119,2719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shelton State Community College",NA,33.120531,-87.56148,NA,0.0274,3933,7383,8952,9971,11201,12202,NA,NA,NA,NA,NA,NA,399,NA,4609,NA,43868.43,4600,11600,33900,45700,4800,13900,39700,55800
"Snead State Community College",NA,34.201247,-86.169479,NA,0.0302,4380,7830,5132,4758,5036,7908,9753,NA,NA,NA,NA,NA,520,NA,5119,6228,42881.33,4100,12300,33900,45900,5500,14200,41600,52700
"University of South Alabama",NA,30.695081,-88.18189,0.7816,0,7332,14364,12171,12949,16612,19149,19654,NA,NA,NA,NA,NA,1303,NA,7179,24500,51919.71,6800,18300,46000,64100,10500,21800,55400,78800
"Spring Hill College",NA,30.694751,-88.138199,0.4132,0,34092,34092,NA,NA,NA,NA,NA,7189,9056,8594,8848,13804,NA,257,6278,NA,59048.32,7700,19800,47300,62100,15500,26400,60900,84300
"Southeastern Bible College",NA,33.378935,-86.749045,1,0,12600,12600,NA,NA,NA,NA,NA,12861,14901,NA,NA,18988,NA,11,4425,22740.5,57076.95,NA,NA,NA,NA,NA,NA,NA,NA
"Stillman College",35401,33.199228,-87.585242,0.5659,0,10418,10418,NA,NA,NA,NA,NA,15781,20600,17867,19877,15529,NA,256,4770,34000,46186.31,5000,12500,30300,43400,5100,15500,40100,51500
"Talladega College",35160,33.434258,-86.113675,NA,0,12510,12510,NA,NA,NA,NA,NA,12750,13580,14612,17475,NA,NA,282,5186,28822.5,44867.28,1300,9700,30400,35600,4300,13300,33300,53300
"H Councill Trenholm State Community College",NA,32.350109,-86.343057,NA,0.0518,4074,7524,7017,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,5998,NA,44608.65,4900,11500,30400,44900,5200,13500,39200,49200
"Troy University",NA,31.800128,-85.950191,0.9187,0.0036,7924,14812,11430,13206,13466,11429,15273,NA,NA,NA,NA,NA,1062,NA,6336,25000,49132.68,8300,17800,42600,60300,9700,21500,51500,70800
"Tuskegee University",NA,32.431021,-85.710315,0.5296,0,20015,20015,NA,NA,NA,NA,NA,31882,32433,32508,29770,29737,NA,598,6086,32122,54155.29,6000,15500,46600,65900,9200,20900,55700,81200
"United States Sports Academy",NA,30.639329,-87.91163,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5393,NA,59896.36,NA,NA,NA,NA,NA,NA,NA,NA
"Bevill State Community College",35501,33.835785,-87.265034,NA,0.0419,4350,7800,8202,8836,10603,12718,NA,NA,NA,NA,NA,NA,527,NA,4598,NA,41185.71,5000,12200,35000,50900,6100,14200,41500,57300
"University of Alaska Anchorage",99508,61.189554,-149.826135,0.706,0.0667,5545,17177,7260,7701,10028,12115,12340,NA,NA,NA,NA,NA,646,NA,8826,18704.5,72116.59,6600,19600,53900,77600,7600,23600,65700,84200
"Alaska Bible College",99645,61.59843,-149.111341,NA,0,9300,9300,NA,NA,NA,NA,NA,NA,10869,12824,NA,NA,NA,5,2837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Alaska Fairbanks",NA,64.856483,-147.822943,0.731,0.0285,5674,17303,7088,8474,10019,13799,13339,NA,NA,NA,NA,NA,281,NA,9265,16975.5,65084.81,5300,15500,46900,67300,6600,19000,55800,81500
"University of Alaska Southeast",NA,58.38427,-134.636346,0.4891,0.0051,6132,17306,11479,12132,13417,15941,15124,NA,NA,NA,NA,NA,62,NA,7961,16750,73622.06,4100,14100,47500,60600,9000,17300,54500,74300
"Alaska Pacific University",99508,61.191235,-149.804242,0.3891,0,19610,19610,NA,NA,NA,NA,NA,21638,15305,13749,19850,21040,NA,16,5458,23250,70542.98,8200,20900,52800,68900,10800,22900,64800,85000
"AVTEC-Alaska's Institute of Technology",NA,60.110727,-149.444573,NA,0.1469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62883.46,2500,14200,47500,72900,NA,12300,65900,NA
"Charter College",NA,61.195786,-149.840178,NA,0,20137,20137,NA,NA,NA,NA,NA,25233,27012,27457,25329,NA,NA,474,4674,14875,75163.69,5200,12800,42600,67400,6900,19900,62200,86700
"Alaska Career College",NA,61.181443,-149.856954,NA,0,NA,NA,NA,NA,NA,NA,NA,15478,17924,NA,NA,NA,NA,91,4180,8437,69860.72,4600,10300,36700,48600,4300,15300,42600,55400
"Empire Beauty School-Tucson",85716,32.235657,-110.927187,NA,0,NA,NA,NA,NA,NA,NA,NA,12755,13276,14540,16003,17683,NA,48,NA,11375,52261.19,2900,9800,28900,37500,3100,11800,32700,43000
"Thunderbird School of Global Management",NA,33.620887,-112.180861,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18326,20278.5,71245.67,6700,63400,123700,169300,NA,73300,158300,NA
"American Indian College Inc",85021,33.577738,-112.092247,NA,0,11700,11700,NA,NA,NA,NA,NA,18987,15384,12733,NA,NA,NA,21,2706,NA,44042.5,NA,NA,NA,NA,NA,NA,NA,NA
"American Institute of Trucking",NA,33.442262,-112.175304,NA,0,NA,NA,NA,NA,NA,NA,NA,18020,18729,NA,19819,20321,NA,276,NA,6130,57768.8,3700,12800,41100,55000,3900,16800,45900,60000
"Carrington College-Phoenix North",NA,33.560821,-112.115546,0.9837,0,NA,NA,NA,NA,NA,NA,NA,20676,20663,22143,24933,25266,NA,165,4293,9500,53686.19,4100,13100,36200,44300,4000,13100,34900,52500
"Carrington College-Mesa",85210,33.39207,-111.855281,0.9861,0,NA,NA,NA,NA,NA,NA,NA,20714,20719,22693,25690,NA,NA,78,4314,9500,NA,4100,13100,36200,44300,4000,13100,34900,52500
"Carrington College-Tucson",85745,32.224,-110.982961,0.9774,0,NA,NA,NA,NA,NA,NA,NA,19529,18700,23233,22496,23663,NA,60,3281,9500,NA,4100,13100,36200,44300,4000,13100,34900,52500
"CollegeAmerica-Flagstaff",86001,35.194607,-111.65739,NA,0,16968,16968,NA,NA,NA,NA,NA,24124,28767,NA,NA,NA,NA,20,5438,25604,45219.99,2600,9000,27900,37900,NA,9100,34500,NA
"Arizona Academy of Beauty-East",85712,32.237253,-110.872305,NA,0,NA,NA,NA,NA,NA,NA,NA,18687,17280,NA,NA,NA,NA,3,NA,5601.5,47198.06,NA,NA,NA,NA,NA,7400,28000,NA
"Arizona Automotive Institute",NA,33.537249,-112.157344,NA,0,NA,NA,NA,NA,NA,NA,NA,26928,28744,30773,32875,33809,NA,435,NA,9500,52276.12,4700,10200,33700,52000,6800,17400,47600,64900
"Brookline College-Phoenix",85021,33.525384,-112.15007,NA,0,NA,NA,NA,NA,NA,NA,NA,29684,30349,30170,31412,32145,NA,192,5841,9500,50758.42,2400,8900,28500,38200,3300,10300,32700,44000
"Arizona State University-Tempe",85287,33.422247,-111.934629,0.8291,0.0016,10158,25458,7046,8555,13135,15480,17109,NA,NA,NA,NA,NA,2609,NA,10941,20278.5,69074.33,10400,23600,51800,70000,12900,29800,67400,93300
"Arizona Western College",NA,32.689306,-114.495968,NA,0.0149,2540,9530,8499,9021,10120,12558,11937,NA,NA,NA,NA,NA,566,NA,6247,6250,41365.15,4100,11300,33200,47300,5800,15200,41200,57600
"University of Arizona",NA,32.232071,-110.950769,0.7643,0.0033,11403,32630,12979,14314,17505,19332,19913,NA,NA,NA,NA,NA,2330,NA,10499,19000,64708.31,9200,21700,51200,69600,12100,29100,69100,99400
"Southwest University of Visual Arts-Tucson",85716,32.252384,-110.927321,NA,0,23069,23069,NA,NA,NA,NA,NA,35574,36786,NA,37876,37126,NA,19,5670,50750,56683.5,4400,11400,33300,44500,5800,16000,44500,54100
"Central Arizona College",NA,32.957092,-111.652501,NA,0.0063,2460,10740,3900,4165,4494,5209,5238,NA,NA,NA,NA,NA,320,NA,6252,9500,49319.55,4600,12700,35600,49800,5300,14700,42500,59800
"Brown Mackie College-Tucson",85712,32.236736,-110.895086,NA,0.0628,13788,13788,NA,NA,NA,NA,NA,18047,20214,21879,22599,NA,NA,88,4879,22188,45529.6,4800,15300,39100,47100,6200,17300,44200,53800
"Charles of Italy Beauty College",86403,34.475275,-114.328134,NA,0,NA,NA,NA,NA,NA,NA,NA,9567,10523,12273,13796,13796,NA,55,NA,7389,46757.68,NA,NA,NA,NA,NA,NA,NA,NA
"Cochise County Community College District",NA,31.365757,-109.690422,NA,0.0258,1848,6000,4186,4969,6667,6017,NA,NA,NA,NA,NA,NA,328,NA,6990,6000,44599.32,4300,11700,33200,55800,7300,14600,48200,74600
"Empire Beauty School-Flagstaff",86004,35.197151,-111.625936,NA,0,NA,NA,NA,NA,NA,NA,NA,11979,14473,13633,17263,NA,NA,30,NA,11829,60995.61,2500,6300,23700,40800,3300,9400,28800,47600
"Empire Beauty School-Chandler",85224,33.347586,-111.860423,NA,0,NA,NA,NA,NA,NA,NA,NA,11280,13787,16749,NA,NA,NA,23,NA,11829,60995.61,2500,6300,23700,40800,3300,9400,28800,47600
"Cortiva Institute-Tucson",85710,32.21901,-110.856785,NA,0,NA,NA,NA,NA,NA,NA,NA,18864,20245,21755,22237,NA,NA,36,NA,6706,54064.81,6800,9700,29800,45100,4700,8900,34100,53200
"Avalon School of Cosmetology-Mesa",85210,33.376583,-111.858305,NA,0,NA,NA,NA,NA,NA,NA,NA,11449,12519,NA,NA,NA,NA,83,NA,9116.5,66538.28,2800,7600,29100,40600,3700,12800,31400,42600
"Eastern Arizona College",NA,32.840719,-109.761664,NA,0.0174,2080,9580,6767,6259,8175,9358,NA,NA,NA,NA,NA,NA,94,NA,8265,NA,44403.48,3800,11600,35600,55400,5000,16300,48300,67500
"Embry-Riddle Aeronautical University-Prescott",NA,34.615678,-112.452285,0.7914,0,33144,33144,NA,NA,NA,NA,NA,28677,31548,30793,33993,38711,NA,300,8514,25000,66671.2,13300,27500,65100,87800,22400,40200,88200,115500
"Frank Lloyd Wright School of Architecture",85259,33.60715,-111.846477,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale Community College",85302,33.567483,-112.188334,NA,0.0118,2046,7830,6267,6810,9296,10995,10850,NA,NA,NA,NA,NA,1108,NA,9062,6241.5,60869.63,6500,15300,39600,56800,6900,19200,50100,69300
"Grand Canyon University",85017,33.512172,-112.129917,0.432,0,17050,17050,NA,NA,NA,NA,NA,25688,26648,29302,30974,31119,NA,1589,5985,18750,62877.37,10000,16500,52700,90500,11100,27400,72600,96100
"International Academy of Hair Design",NA,33.38145,-111.940071,NA,0,NA,NA,NA,NA,NA,NA,NA,15066,NA,NA,NA,NA,NA,107,NA,7969.5,63615.2,NA,8500,30500,NA,NA,12300,37900,NA
"GateWay Community College",85034,33.4495,-111.996527,NA,0.0231,2046,7830,7143,7394,9690,11394,11730,NA,NA,NA,NA,NA,209,NA,8704,9500,55530.55,5200,17200,51800,66800,5600,16400,48800,71800
"Mesa Community College",85202,33.391256,-111.871494,NA,0.0131,2046,7830,7095,7846,10108,11862,12182,NA,NA,NA,NA,NA,980,NA,9085,8000,63155.06,5100,15600,41900,60100,6900,18800,53100,77700
"ITT Technical Institute-Tucson",NA,32.297261,-110.997501,0.927,0.3623,18048,18048,NA,NA,NA,NA,NA,24198,24131,27091,28145,NA,NA,44,5221,25429,50010.16,6400,15800,46800,64300,8900,23000,57200,77000
"ITT Technical Institute-Tempe",85282,33.380355,-111.969169,0.9539,0.4375,18048,18048,NA,NA,NA,NA,NA,23357,24018,26811,27463,27463,NA,55,4573,25429,55113.76,6400,15800,46800,64300,8900,23000,57200,77000
"Mohave Community College",NA,35.270737,-114.030244,NA,0,2112,6972,7050,7314,9395,11024,11024,NA,NA,NA,NA,NA,110,NA,6304,14750,44384.44,2900,11600,34600,53100,4800,13000,43800,62300
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",85027,33.684428,-112.121336,NA,0,NA,NA,NA,NA,NA,NA,NA,15989,17652,19605,20591,20789,NA,186,NA,17156,62022.22,7600,19100,42700,55400,7100,22300,51400,64200
"Dine College",86556,36.293328,-109.21684,NA,0,725,725,3653,4232,5157,NA,NA,NA,NA,NA,NA,NA,153,NA,5580,NA,32363.14,2500,7800,26100,36100,3500,9000,33700,45700
"Northern Arizona University",NA,35.180095,-111.657653,0.7706,0,10358,23348,11930,12117,14837,18140,19416,NA,NA,NA,NA,NA,1938,NA,7989,20000,59985.62,9500,20100,45700,61900,10300,25400,56600,77800
"Northland Pioneer College",NA,34.922221,-110.1316,NA,0.0685,1712,7880,8209,9704,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,6128,NA,39948.81,3000,9500,30600,45500,3700,14000,37500,54700
"Ottawa University-Phoenix",85021,33.57172,-112.113301,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5515,21875,65346.8,11000,21700,54300,68900,11200,26900,57700,78100
"Phoenix College",85013,33.481361,-112.088293,NA,0.0083,2046,7830,7014,7329,8862,11352,12000,NA,NA,NA,NA,NA,539,NA,9116,9699,50868.19,5100,14300,38300,52900,6300,16500,46000,65400
"Cortiva Institute-Scottsdale",85257,33.466554,-111.908433,NA,0,NA,NA,NA,NA,NA,NA,NA,17419,18693,19359,19878,NA,NA,33,NA,7600,62086.42,4700,9300,36000,46700,3600,10300,39200,55100
"Pima Community College",NA,32.221737,-110.887033,NA,0.0053,1974,8610,1936,2643,4788,6878,7258,NA,NA,NA,NA,NA,1310,NA,5367,6750,50427.11,4900,13900,36500,52700,6300,17000,44900,66100
"Pima Medical Institute-Tucson",85716,32.250448,-110.921306,NA,0,NA,NA,NA,NA,NA,NA,NA,20710,20787,21525,22441,NA,NA,632,5162,8708,59572.48,4600,13700,36300,50600,4300,14900,38800,53300
"Pima Medical Institute-Albuquerque",87110,35.10488,-106.594381,NA,0,NA,NA,NA,NA,NA,NA,NA,18421,18511,19224,20456,NA,NA,385,5555,8708,59572.48,4600,13700,36300,50600,4300,14900,38800,53300
"Prescott College",86301,34.5445,-112.476509,0.7043,0,27503,27503,NA,NA,NA,NA,NA,17598,19469,22352,27390,32520,NA,33,4386,19500,62739.99,5100,13000,38300,48300,7100,17100,43700,63500
"Refrigeration School Inc",NA,33.448692,-111.989357,NA,0.9961,NA,NA,NA,NA,NA,NA,NA,20359,21462,21619,21364,23749,NA,347,3613,11750,57880.38,7000,20300,48200,64500,6200,25100,56700,73300
"Rio Salado College",85281,33.413138,-111.975201,NA,2e-04,2046,7830,6968,7482,8282,11130,11130,NA,NA,NA,NA,NA,83,NA,8278,7897.5,62743.54,6300,15100,44800,67200,5600,19100,55900,75000
"Roberto-Venn School of Luthiery",85007,33.45489,-112.086161,NA,0,NA,NA,NA,NA,NA,NA,NA,19808,NA,NA,NA,NA,NA,16,NA,NA,63275.06,NA,NA,NA,NA,NA,NA,NA,NA
"Hair Academy of Safford",85546,32.835302,-109.727696,NA,0,NA,NA,NA,NA,NA,NA,NA,10241,NA,NA,NA,NA,NA,25,NA,NA,42963.02,NA,NA,NA,NA,NA,NA,NA,NA
"Scottsdale Community College",85256,33.509489,-111.887298,NA,0.0038,2046,7830,7180,8031,10407,11781,12310,NA,NA,NA,NA,NA,315,NA,9130,7300,67477.78,5400,17100,46000,61400,6500,18700,54200,80000
"South Mountain Community College",85042,33.381001,-112.057515,NA,0,2046,7830,6408,6905,8156,11232,10172,NA,NA,NA,NA,NA,280,NA,8917,8919.5,55144.14,5100,12800,35600,48100,5300,17200,40800,54300
"Arizona Christian University",NA,33.595117,-112.026211,0.5123,0,23110,23110,NA,NA,NA,NA,NA,26093,25868,27705,28033,29436,NA,116,5155,22500,65520.64,NA,13800,38200,NA,5600,16600,42800,52100
"Tucson College",85711,32.22205,-110.883181,NA,0.0065,NA,NA,NA,NA,NA,NA,NA,21392,NA,NA,NA,NA,NA,82,NA,9499,49079.18,3100,10500,28100,36800,3900,11600,30400,48000
"Universal Technical Institute of Arizona Inc",85323,33.453533,-112.289693,NA,0,NA,NA,NA,NA,NA,NA,NA,18433,18989,21167,23048,23512,NA,359,4926,18243,64889.67,9300,21900,46900,61500,12500,28300,60900,78900
"Western International University",85282,33.403625,-111.964182,NA,0,6000,6000,NA,NA,NA,NA,NA,10407,10407,17637,NA,17637,NA,6,7811,26438,59120.06,5100,27400,65300,69300,15300,28700,69400,99600
"Empire Beauty School-NW Phoenix",85051,33.538093,-112.118168,NA,0,NA,NA,NA,NA,NA,NA,NA,12739,14135,13837,NA,NA,NA,49,NA,11631,51858.75,4300,8300,22800,38700,NA,8600,26600,NA
"Yavapai College",86301,34.547512,-112.454156,NA,0.0033,2064,8688,5901,6494,8391,10229,8219,NA,NA,NA,NA,NA,327,NA,6953,9447,48093.18,4600,11200,35100,54100,5700,13800,43700,67000
