"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Magnolia College of Cosmetology",39206,32.359614,-90.151826,NA,0,NA,NA,NA,NA,NA,NA,NA,13019,13652,NA,NA,NA,NA,39,NA,9833,46960.46,4800,10500,27200,27800,NA,NA,NA,NA
"Tougaloo College",39174,32.402719,-90.159405,0.3912,0,10608,10608,NA,NA,NA,NA,NA,12795,12384,10424,18415,19221,NA,130,4683,35004.5,44758.77,4900,12300,30600,44700,8000,16300,37600,61500
"Wesley Biblical Seminary",39206,32.355011,-90.159447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"William Carey University",NA,31.305264,-89.291815,0.5689,0,11700,11700,NA,NA,NA,NA,NA,17384,18359,16847,10197,17719,NA,155,5180,20192,45401.66,6700,18100,41600,64500,8200,22000,54900,72500
"Aquinas Institute of Theology",NA,38.635008,-90.237365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assemblies of God Theological Seminary",NA,37.224401,-93.26151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222,23065,55331.77,NA,18100,38000,NA,NA,23000,49000,NA
"Avila University",NA,38.912159,-94.591387,0.5089,0,26450,26450,NA,NA,NA,NA,NA,17687,18307,20144,21438,20279,NA,200,6727,26000,67638.05,11400,24500,46900,57300,13200,27700,58200,75600
"ITT Technical Institute-Earth City",63045,38.757955,-90.461159,0.5852,0.2514,18048,18048,NA,NA,NA,NA,NA,22853,23931,25639,27696,NA,NA,54,5194,25429,56426.28,6400,15800,46800,64300,8900,23000,57200,77000
"Baptist Bible College",NA,37.239731,-93.285385,NA,0,9894,9894,NA,NA,NA,NA,NA,12309,13083,14088,17651,16280,NA,62,4284,22765,54103.44,6000,14000,32400,41400,4400,16900,42900,62600
"House of Heavilin Beauty College-Blue Springs",64014,38.999893,-94.273804,NA,0,NA,NA,NA,NA,NA,NA,NA,14944,NA,NA,NA,NA,NA,13,NA,7917,67775.29,2500,9000,28100,35300,NA,NA,NA,NA
"Cox College",65802,37.225116,-93.290233,0.5938,0,10587,10587,NA,NA,NA,NA,NA,21037,NA,24150,24024,NA,NA,5,6410,20184,48211.36,10500,25700,51800,60700,16700,24200,55400,69900
"Calvary University",NA,38.838169,-94.546238,0.9423,0,11320,11320,NA,NA,NA,NA,NA,11074,9895,13870,15588,16180,NA,25,3861,20946,59014.41,NA,NA,NA,NA,NA,15200,50500,NA
"Cape Girardeau Career and Technology Center",NA,37.274138,-89.56525,NA,0.0274,NA,NA,2874,7070,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,9500,45946.14,3900,19500,43300,54100,2200,19900,44900,59200
"Central Christian College of the Bible",NA,39.395963,-92.427259,0.3491,0,11900,11900,NA,NA,NA,NA,NA,8264,9875,11517,12741,15741,NA,43,4914,17688.5,57236.66,3700,12700,31600,41100,NA,16900,39000,NA
"Central Methodist University-College of Liberal Arts and Sciences",NA,39.150534,-92.685276,0.5786,0,22360,22360,NA,NA,NA,NA,NA,18185,16373,19926,21840,21494,NA,289,5908,16875,49478.5,11200,21600,41300,53300,11200,25800,47600,58200
"University of Central Missouri",64093,38.755882,-93.737445,0.7945,0.0991,7322,13767,11227,12317,16139,18258,18428,NA,NA,NA,NA,NA,1247,NA,7115,22441,57730.2,10100,20700,42400,53300,11500,24800,52600,72300
"Grand River Technical School",64601,39.798864,-93.559669,0.7593,0.1235,NA,NA,4788,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,42316.1,NA,NA,NA,NA,NA,NA,NA,NA
"Chillicothe Beauty Academy Inc",64601,39.792786,-93.551131,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13341,NA,NA,NA,NA,15,NA,NA,41349.89,NA,NA,NA,NA,NA,NA,NA,NA
"Cleveland University-Kansas City",66210,38.932019,-94.679076,0.75,0,9120,9120,NA,NA,NA,NA,NA,36435,NA,NA,NA,NA,NA,2,5304,10500,61070.83,NA,13700,42500,NA,8700,20100,59900,84500
"Columbia Area Career Center",NA,38.903705,-92.33669,0.6129,0,NA,NA,16381,17698,NA,22878,NA,NA,NA,NA,NA,NA,5,NA,NA,6360,51493.94,NA,NA,NA,NA,NA,NA,NA,NA
"Columbia College",65216,38.957899,-92.326544,NA,0,8240,8240,NA,NA,NA,NA,NA,12231,10782,10288,10668,5653,NA,491,7525,22034.5,56190.76,7700,19900,46800,63400,9900,23800,55100,79300
"Conception Seminary College",NA,40.24044,-94.682831,1,0,20304,20304,NA,NA,NA,NA,NA,NA,25218,26443,30603,NA,NA,9,4243,NA,56643.16,NA,NA,NA,NA,NA,NA,NA,NA
"Concordia Seminary",NA,38.63816,-90.312041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cottey College",64772,37.836127,-94.371311,0.7354,0,19300,19300,NA,NA,NA,NA,NA,14960,13985,17068,21474,19314,NA,99,6310,12000,61289.57,6400,16700,33800,42900,7500,18800,43200,52800
"Covenant Theological Seminary",NA,38.643066,-90.451323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crowder College",64850,36.811709,-94.363218,NA,0.0209,2352,3312,4229,4421,6325,7083,7296,NA,NA,NA,NA,NA,638,NA,4992,7937.5,42707.91,4800,13100,34900,45700,6300,15800,39200,56200
"Culver-Stockton College",NA,40.130064,-91.526682,0.5589,0,24900,24900,NA,NA,NA,NA,NA,15609,16543,19755,21702,21964,NA,253,5284,25000,52894.01,12400,20500,39700,50800,13800,23100,53500,68300
"Drury University",NA,37.219757,-93.285773,0.842,0,24905,24905,NA,NA,NA,NA,NA,23260,19046,21085,19865,21347,NA,255,6255,24141,45736.92,5900,16800,38200,49400,7400,19200,45000,66800
"East Central College",63084,38.430296,-90.975535,NA,0.002,2280,4488,6707,7219,8799,9348,9701,NA,NA,NA,NA,NA,367,NA,5528,10450,54108.43,5200,12600,34000,46300,7100,14600,41100,58000
"Eden Theological Seminary",NA,38.592307,-90.345605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elaine Steven Beauty College",NA,38.761399,-90.278574,NA,0,NA,NA,NA,NA,NA,NA,NA,11980,14204,15969,14554,NA,NA,30,NA,12500,47039.24,2400,6900,21100,30900,2500,9900,25100,35300
"Pinnacle Career Institute-South Kansas City",NA,38.942064,-94.579691,NA,0.2363,NA,NA,NA,NA,NA,NA,NA,15550,17478,18997,NA,NA,NA,198,4104,12533,58634.45,3900,10300,31800,42600,6200,13300,41800,65100
"Evangel University",NA,37.220956,-93.262614,0.6146,0,21436,21436,NA,NA,NA,NA,NA,18598,18770,21097,24595,24524,NA,322,6937,23065,58696.81,6900,18100,38000,55700,6100,23000,49000,65700
"Fontbonne University",NA,38.642697,-90.315712,0.9676,0,23790,23790,NA,NA,NA,NA,NA,15833,16830,17745,14395,13698,NA,86,6260,26000,60924.15,11300,21900,47500,64500,12400,27800,60100,81800
"Four Rivers Career Center",NA,38.547707,-91.020914,NA,0,15435,15435,19101,22267,20510,NA,25007,NA,NA,NA,NA,NA,32,NA,NA,NA,57596.09,NA,NA,NA,NA,NA,NA,NA,NA
"Ozarks Technical Community College",65802,37.216479,-93.279985,NA,0.0164,2930,5282,6515,7435,9667,10946,11244,NA,NA,NA,NA,NA,1438,NA,5409,12092,46350.82,5100,13700,34500,46500,6500,16200,42200,56700
"Hannibal-LaGrange University",63401,39.730785,-91.391423,0.5873,0,21110,21110,NA,NA,NA,NA,NA,17032,16739,17103,17998,17778,NA,127,4816,18750,48193.05,9000,18100,38300,49300,12800,18600,48500,64400
"Harris-Stowe State University",NA,38.631744,-90.224288,NA,0,5220,9853,8560,8808,11360,12171,7373,NA,NA,NA,NA,NA,195,NA,5500,27025,43579.52,3900,12500,31100,43200,6100,16300,41000,53900
"Hickey College",63114,38.709193,-90.408635,NA,0,13890,13890,NA,NA,NA,NA,NA,14673,15300,17727,20990,20769,NA,85,4728,13500,59487.63,6000,17400,36800,44700,7900,20100,40900,54300
